,date,cost_ru
0,2009-09-04,336.61
19,2009-10-01,337.77
41,2009-11-02,339
62,2009-12-01,339.81
85,2010-01-01,340.84
106,2010-02-01,341.47
126,2010-03-01,341.61
149,2010-04-01,343.11
171,2010-05-03,344.61
192,2010-06-01,344.62
214,2010-07-01,344.66
236,2010-08-02,344.79
258,2010-09-01,344.77
280,2010-10-01,345.71
301,2010-11-01,346.73
323,2010-12-01,348.21
346,2011-01-03,348.88
367,2011-02-01,350.26
387,2011-03-01,352.35
410,2011-04-01,353.65
411,2011-05-02,355.36
453,2011-06-01,356.83
475,2011-07-01,357.69
496,2011-08-01,358.05
519,2011-09-01,360.57
541,2011-10-03,363.35
562,2011-11-01,365.71
584,2011-12-01,367.68
606,2012-01-02,368.73
628,2012-02-01,371.31
649,2012-03-01,373.33
671,2012-04-02,374.88
692,2012-05-01,376.06
715,2012-06-01,377.67
736,2012-07-02,379.17
758,2012-08-01,381.27
781,2012-09-03,383.46
801,2012-10-01,386.14
824,2012-11-01,388.11
846,2012-12-03,391.06
867,2013-01-01,396.43
890,2013-02-01,398.88
910,2013-03-01,400.48
931,2013-04-01,404.22
953,2013-05-01,407.61
976,2013-06-03,409.31
996,2013-07-01,411.41
1019,2013-08-01,414.1
1041,2013-09-02,415.75
1062,2013-10-01,418.37
1085,2013-11-01,420.58
1106,2013-12-02,422.62
1128,2014-01-01,428.92
1151,2014-02-02,431.51
1171,2014-03-03,437.6
1192,2014-04-01,443.96
1214,2014-05-01,449.35
1236,2014-06-02,456.55
1257,2014-07-01,460.87
1280,2014-08-01,464.91
1301,2014-09-01,469.13
1323,2014-10-01,472.91
1346,2014-11-03,481.98
1366,2014-12-01,496.4
1389,2015-01-01,545.01
1411,2015-02-02,585.1
1431,2015-03-02,607.72
1453,2015-04-01,628.13
1475,2015-05-01,636.64
1496,2015-06-01,639.26
1518,2015-07-01,644.5
1541,2015-08-03,649.55
1562,2015-09-01,658.12
1584,2015-10-01,669.22
1606,2015-11-02,677.16
1627,2015-12-01,685.73
1650,2016-01-01,682.54
1671,2016-02-01,694.8
1692,2016-03-01,711.71
1715,2016-04-01,724.63
1736,2016-05-02,732.24
1758,2016-06-01,736.79
1780,2016-07-01,738.93
1801,2016-08-01,743.35
1824,2016-09-01,747.13
1846,2016-10-03,748.74
1867,2016-11-01,754.19
1889,2016-12-01,759.21
1911,2017-01-02,760.11
1933,2017-02-01,762.39
1953,2017-03-01,764.13
1976,2017-04-03,762.35
1996,2017-05-01,761.38
2019,2017-06-01,762.16
2041,2017-07-03,763.32
2062,2017-08-01,763.98
2085,2017-09-01,767.43
2106,2017-10-02,766.6
2128,2017-11-01,762.71
2150,2017-12-01,765.93
2171,2018-01-01,762.47
2194,2018-02-01,763.9
2214,2018-03-01,764.25
2236,2018-04-02,766.53
2257,2018-05-01,771.06
2280,2018-06-01,771.4
2301,2018-07-02,772.69
2323,2018-08-01,772.97
2346,2018-09-03,774.66
2366,2018-10-01,774.79
2389,2018-11-01,776.21
2411,2018-12-03,780.19
2432,2019-01-01,795.82
2455,2019-02-01,799.63
2475,2019-03-01,808.61
2496,2019-04-01,813.87
2518,2019-05-01,819.06
2541,2019-06-03,821.13
2561,2019-07-01,820.18
2584,2019-08-01,820.18
2606,2019-09-02,818.11
2627,2019-10-01,820.74
2650,2019-11-01,825.46
2671,2019-12-02,828.94
2693,2020-01-01,833.39
2716,2020-02-03,832.96
2736,2020-03-02,841.62
2758,2020-04-01,848.56
2780,2020-05-01,865.19
2801,2020-06-01,883.61
2823,2020-07-01,891.12
2846,2020-08-03,896.44
2867,2020-09-01,901.73
2889,2020-10-01,905.32
2911,2020-11-02,908.77
2932,2020-12-01,911.1
2955,2021-01-01,932.14
2976,2021-02-01,938.75
2996,2021-03-01,943.5
3019,2021-04-01,947.37
3041,2021-05-03,952.7
3062,2021-06-01,954.67
3084,2021-07-01,954.12
3106,2021-08-02,958.47
3128,2021-09-01,964.26
3150,2021-10-01,964.49
3171,2021-11-01,971.39
3193,2021-12-01,983.49
3216,2022-01-03,979.6
3237,2022-02-01,996.76
3257,2022-03-01,1109.74
3280,2022-04-01,1195.21
3301,2022-05-02,1221.66
3323,2022-06-01,1223.5
3345,2022-07-01,1216.71
3366,2022-08-01,1215.31
3389,2022-09-01,1210.56
3411,2022-10-03,1211.91
3432,2022-11-01,1200.82
3454,2022-12-01,1200.34
3476,2023-01-02,1208.58
3498,2023-02-01,1197.91
3518,2023-03-01,1206.15
3541,2023-04-03,1207.78
3561,2023-05-01,1208.22
3584,2023-06-01,1208.36
3606,2023-07-03,1212.99
3627,2023-08-01,1213.58
3628,2023-09-01,1223.96
3629,2023-10-01,1233.89
3630,2023-11-01,1230.93
3631,2023-12-01,1229.1
3632,2023-12-31,1229.1
