,date,cost
0,2009-09-04,3.93
1,2009-09-07,3.93
2,2009-09-08,3.98
3,2009-09-09,3.98
4,2009-09-10,3.98
5,2009-09-11,3.98
6,2009-09-14,3.98
7,2009-09-15,4.13
8,2009-09-16,4.13
9,2009-09-17,4.13
10,2009-09-18,4.13
11,2009-09-21,4.13
12,2009-09-22,4.22
13,2009-09-23,4.22
14,2009-09-24,4.22
15,2009-09-25,4.22
16,2009-09-28,4.22
17,2009-09-29,4.32
18,2009-09-30,4.32
19,2009-10-01,4.32
20,2009-10-02,4.32
21,2009-10-05,4.32
22,2009-10-06,4.59
23,2009-10-07,4.59
24,2009-10-08,4.59
25,2009-10-09,4.59
26,2009-10-12,4.59
27,2009-10-13,4.59
28,2009-10-14,4.91
29,2009-10-15,4.91
30,2009-10-16,4.91
31,2009-10-19,4.91
32,2009-10-20,4.91
33,2009-10-21,4.91
34,2009-10-22,4.91
35,2009-10-23,4.91
36,2009-10-26,4.91
37,2009-10-27,5.05
38,2009-10-28,5.05
39,2009-10-29,5.05
40,2009-10-30,5.05
41,2009-11-02,5.05
42,2009-11-03,5.05
43,2009-11-04,5.22
44,2009-11-05,5.22
45,2009-11-06,5.22
46,2009-11-09,5.22
47,2009-11-10,5.25
48,2009-11-11,5.25
49,2009-11-12,5.25
50,2009-11-13,5.25
51,2009-11-16,5.25
52,2009-11-17,5.3
53,2009-11-18,5.3
54,2009-11-19,5.3
55,2009-11-20,5.3
56,2009-11-23,5.3
57,2009-11-24,5.29
58,2009-11-25,5.29
59,2009-11-26,5.29
60,2009-11-27,5.29
61,2009-11-30,5.29
62,2009-12-01,5.33
63,2009-12-02,5.33
64,2009-12-03,5.33
65,2009-12-04,5.33
66,2009-12-07,5.33
67,2009-12-08,5.29
68,2009-12-09,5.29
69,2009-12-10,5.29
70,2009-12-11,5.29
71,2009-12-14,5.29
72,2009-12-15,5.23
73,2009-12-16,5.23
74,2009-12-17,5.23
75,2009-12-18,5.23
76,2009-12-21,5.23
77,2009-12-22,5.18
78,2009-12-23,5.18
79,2009-12-24,5.18
80,2009-12-25,5.18
81,2009-12-28,5.18
82,2009-12-29,5.18
83,2009-12-30,5.18
84,2009-12-31,5.18
85,2010-01-01,5.18
86,2010-01-04,5.18
87,2010-01-05,5.18
88,2010-01-06,4.75
89,2010-01-07,4.75
90,2010-01-08,4.75
91,2010-01-11,4.75
92,2010-01-12,4.75
93,2010-01-13,4.3
94,2010-01-14,4.3
95,2010-01-15,4.3
96,2010-01-18,4.3
97,2010-01-19,4.3
98,2010-01-20,3.95
99,2010-01-21,3.95
100,2010-01-22,3.95
101,2010-01-25,3.95
102,2010-01-26,3.95
103,2010-01-27,3.19
104,2010-01-28,3.19
105,2010-01-29,3.19
106,2010-02-01,3.19
107,2010-02-02,3.19
108,2010-02-03,3.47
109,2010-02-04,3.47
110,2010-02-05,3.47
111,2010-02-08,3.47
112,2010-02-09,3.47
113,2010-02-10,3.84
114,2010-02-11,3.84
115,2010-02-12,3.84
116,2010-02-15,3.84
117,2010-02-16,3.84
118,2010-02-17,3.8
119,2010-02-18,3.8
120,2010-02-19,3.8
121,2010-02-22,3.8
122,2010-02-23,3.8
123,2010-02-24,3.81
124,2010-02-25,3.81
125,2010-02-26,3.81
126,2010-03-01,3.81
127,2010-03-02,3.8
128,2010-03-03,3.8
129,2010-03-04,3.8
130,2010-03-05,3.8
131,2010-03-08,3.8
